2020.01.27 16:58:18.084 | > N | 190a | 0002 | 0d0a (  )
2020.01.27 16:58:18.164 | < W | 190a | 0001 | 41542b54494d455a4f4e453d2d31343430300d0a (AT+TIMEZONE=-14400  )
2020.01.27 16:58:18.206 | > N | 190a | 0002 | 41542b54494d455a4f4e453a2d31343430300d0a (AT+TIMEZONE:-14400  )
2020.01.27 16:58:18.261 | < W | 190a | 0001 | 41542b53594e3d300d0a (AT+SYN=0  )
2020.01.27 16:58:18.294 | > N | 190a | 0002 | 41542b53594e3a300d0a (AT+SYN:0  )
2020.01.27 16:58:18.359 | < W | 190a | 0001 | 41542b544f504143453d310d0a (AT+TOPACE=1  )
2020.01.27 16:58:18.403 | > N | 190a | 0002 | 41542b544f504143453a4f4b0d0a (AT+TOPACE:OK  )
2020.01.27 16:58:18.456 | < W | 190a | 0001 | 41542b504143453d30303030300d0a (AT+PACE=00000  )
2020.01.27 16:58:18.821 | > N | 190a | 0002 | 41542b504143453a300d0a (AT+PACE:0  )
2020.01.27 16:58:18.895 | < W | 190a | 0001 | 41542b4c414e3d300d0a (AT+LAN=0  )
2020.01.27 16:58:18.956 | > N | 190a | 0002 | 41542b4c414e3a300d0a (AT+LAN:0  )
2020.01.27 16:58:19.091 | < W | 190a | 0001 | 41542b54494d45464f524d41543d300d0a (AT+TIMEFORMAT=0  )
2020.01.27 16:58:19.193 | > N | 190a | 0002 | 41542b54494d45464f524d41543a300d0a (AT+TIMEFORMAT:0  )
2020.01.27 16:58:19.285 | < W | 190a | 0001 | 41542b424154540d0a (AT+BATT  )
2020.01.27 16:58:19.361 | > N | 190a | 0002 | 41542b424154543a37380d0a (AT+BATT:78  )
2020.01.27 16:58:19.431 | < W | 190a | 0001 | 41542b534e0d0a (AT+SN  )
2020.01.27 16:58:19.607 | > N | 190a | 0002 | 41542b534e3a3033313730313035313330313132 (AT+SN:03170105130112)
2020.01.27 16:58:19.611 | > N | 190a | 0002 | 37370d0a (77  )
2020.01.27 16:58:19.675 | < W | 190a | 0001 | 41542b555345523d692c3136392c3035390d0a (AT+USER=i,169,059  )
2020.01.27 16:58:19.952 | > N | 190a | 0002 | 41542b555345523a692c3136392c3035390d0a (AT+USER:i,169,059  )
2020.01.27 16:58:20.017 | < W | 190a | 0001 | 41542b414e54495f4c4f53543d300d0a (AT+ANTI_LOST=0  )
2020.01.27 16:58:20.141 | > N | 190a | 0002 | 41542b414e54495f4c4f53543a300d0a (AT+ANTI_LOST:0  )
2020.01.27 16:58:20.212 | < W | 190a | 0001 | 41542b48524d4f4e49544f523d310d0a (AT+HRMONITOR=1  )
2020.01.27 16:58:20.279 | > N | 190a | 0002 | 41542b48524d4f4e49544f523a310d0a (AT+HRMONITOR:1  )
2020.01.27 16:58:20.358 | < W | 190a | 0001 | 41542b46494e4450484f4e453d300d0a (AT+FINDPHONE=0  )
2020.01.27 16:58:20.478 | > N | 190a | 0002 | 41542b46494e4450484f4e453a300d0a (AT+FINDPHONE:0  )
2020.01.27 16:58:20.553 | < W | 190a | 0001 | 41542b554e4954533d310d0a (AT+UNITS=1  )
2020.01.27 16:58:20.620 | > N | 190a | 0002 | 41542b554e4954533a310d0a (AT+UNITS:1  )
2020.01.27 16:58:20.699 | < W | 190a | 0001 | 41542b4d555349433d300d0a (AT+MUSIC=0  )
2020.01.27 16:58:20.756 | > N | 190a | 0002 | 41542b4d555349433a300d0a (AT+MUSIC:0  )
2020.01.27 16:58:20.845 | < W | 190a | 0001 | 41542b48414e445355503d320d0a (AT+HANDSUP=2  )
2020.01.27 16:58:20.875 | > N | 190a | 0002 | 41542b48414e445355503a320d0a (AT+HANDSUP:2  )
2020.01.27 16:58:20.943 | < W | 190a | 0001 | 41542b5349543d3036302c303930302c31383030 (AT+SIT=060,0900,1800)
2020.01.27 16:58:20.947 | < W | 190a | 0001 | 2c300d0a (,0  )
2020.01.27 16:58:20.996 | > N | 190a | 0002 | 41542b5349543a3036302c303930302c31383030 (AT+SIT:060,0900,1800)
2020.01.27 16:58:21.010 | > N | 190a | 0002 | 2c300d0a (,0  )
2020.01.27 16:58:21.089 | < W | 190a | 0001 | 41542b414c41524d3d302c30302c313131313131 (AT+ALARM=0,00,111111)
2020.01.27 16:58:21.092 | < W | 190a | 0001 | 31302c303830300d0a (10,0800  )
